label,age
1.0,79
1.0,77
1.0,75
1.0,76
1.0,71
1.0,76
1.0,70
1.0,72
1.0,64
1.0,75
1.0,72
1.0,77
1.0,75
1.0,77
1.0,70
1.0,77
1.0,80
1.0,76
1.0,76
1.0,74
1.0,72
1.0,76
1.0,69
1.0,72
1.0,68
1.0,71
1.0,75
1.0,75
1.0,74
1.0,74
1.0,68
1.0,72
1.0,71
1.0,72
1.0,75
1.0,71
1.0,72
1.0,67
1.0,73
1.0,70
1.0,74
1.0,71
1.0,74
1.0,73
1.0,79
1.0,75
1.0,68
1.0,70
1.0,74
1.0,71
1.0,65
1.0,78
1.0,76
1.0,75
1.0,72
1.0,75
1.0,71
1.0,74
1.0,71
1.0,78
1.0,69
1.0,77
1.0,74
1.0,72
1.0,74
1.0,76
1.0,78
1.0,74
1.0,71
1.0,74
1.0,79
1.0,78
1.0,76
1.0,76
1.0,76
1.0,77
1.0,72
1.0,69
1.0,74
1.0,71
1.0,70
1.0,71
1.0,81
1.0,74
1.0,75
1.0,70
1.0,68
1.0,71
1.0,78
1.0,75
1.0,75
1.0,76
1.0,72
1.0,78
1.0,72
1.0,78
1.0,75
1.0,68
1.0,71
1.0,68
1.0,77
1.0,73
1.0,67
1.0,75
1.0,72
1.0,69
1.0,79
1.0,74
1.0,73
1.0,72
1.0,69
1.0,70
1.0,77
1.0,72
1.0,74
1.0,67
1.0,70
1.0,75
1.0,75
1.0,79
1.0,78
1.0,73
1.0,75
1.0,73
1.0,80
1.0,77
1.0,74
1.0,74
1.0,78
1.0,75
1.0,78
1.0,67
1.0,75
1.0,72
1.0,79
1.0,78
1.0,74
1.0,78
1.0,79
1.0,74
1.0,81
1.0,73
1.0,73
1.0,76
1.0,72
1.0,74
1.0,78
1.0,74
1.0,68
1.0,75
1.0,71
1.0,76
1.0,76
1.0,78
1.0,76
1.0,77
1.0,71
1.0,76
1.0,79
1.0,71
1.0,79
1.0,72
1.0,71
1.0,74
1.0,76
1.0,76
1.0,71
1.0,75
1.0,71
1.0,69
1.0,71
1.0,71
1.0,75
1.0,77
1.0,69
1.0,75
1.0,70
1.0,75
1.0,72
1.0,70
1.0,76
1.0,72
1.0,73
1.0,67
1.0,76
1.0,76
1.0,74
1.0,69
1.0,77
1.0,72
1.0,72
1.0,80
1.0,71
1.0,76
1.0,75
1.0,75
1.0,74
1.0,75
1.0,74
